Text,Label
A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,Cyberbullying
@user @user real talk do you have eyes or were they gouged out by a rapefugee?,Cyberbullying
your girlfriend lookin at me like a groupie in this bitch!,Cyberbullying
I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch,Cyberbullying
"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?",Cyberbullying
"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.",Cyberbullying
Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,Cyberbullying
"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen",Cyberbullying
listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes,Cyberbullying
@user @user keep calling her a bitch and a whore dude real grown up.,Cyberbullying
"Glad your having another nice vacation. How's the illegal border crossings, illegal oportunistic migrant entries, tax payer funded hotel rooms for same without a strategic plan going? @user @user @user @user @user @user",Cyberbullying
"@user Unchecked Population&amp;migration to cities is biggest evil for dirty India.Disincentive large families,such as withdrawl of sops",Cyberbullying
"Illegal Alien Hit Man, Dragged Him For Blocks In Deadly DUI Crash #BuildTheWall #NoAmnesty #NoDACA #DeportThemAll #KeepAmericaSafe",Cyberbullying
"knuckle up cause I'll fight for mines Yo pussy petty, U wasting time .. U seasonal, part time U get fucked up fuckin w/ mine U lil bitch",Cyberbullying
This bitch whom I won't name on Facebook is such a shameless woman ruining a relationship. #getalife #stopspreadinglies #hoe,Cyberbullying
@user @user Omg he gave her his number and she didn't say no what a cunt The girl is the cunt for giving it to some random fucktard,Cyberbullying
@user @user Must Make Illegal #Immigration and Over Stays a Felon Pass Mandatory E-Verify for #Jobs and Welfare  #Trump #MAGA #RedNationRising,Cyberbullying
"@user immigration on mass in Europe Kills our Culture our languages and over stretches our own resources such as Hospitals ,Schools ,now Italy ,Greece , etc , Your right send them back home but please do not separate families Islamic countries",Cyberbullying
"@user Uhhhhhh, that’s stupid LITTLE bitch, ma’am 😉",Cyberbullying
