text,label
"That was perhaps the most hackneyed vomit, to say NOTHING of politically ignorant pap that I have read today. The ONLY way that the ""billionaires and CEO's"" can create monopolies and manipulate the market is through the use of governmental power. In a TRUE free market that operates without the corrupting influence of government, companies like Google and Microsoft would have been challenged by rivals that would possibly been able to wrench market share from these two behemoths before they became the ""monopolies"" that you decry. However, both companies paid for, and used, governmental power to crush their enemies in court, resulting in what you have today. Wake up,  you desperately need to educate yourself and stop listening to retread communists and socialists. Oh, and stop smoking crack.",9
Can she not be dismissed for incompetence and doing damage - through stupid recommendations on the economic front which has harmed the very public she is supposed to protect?  She is just trying to get money for government coffers so that the looting can continue.,9
"Robben Island won't be big enough, to hold all these f.....g.  scoundrels,  who have not only betrayed their own faithful people, but also, our entire country.  The mess they have created will take many, many years, to  sort.  They shouldn't be voted out.  They should be shoved, out.",9
"But he is, Blanche! He is a racist!",9
Why? because we are still figuring out a way to pay for the freaking choo-choo to nowhere.,9
"The guy's a damn cop, so what do you expect?",9
"Wow!
The bigotry of Butts' PMO minions defines the hypocrisy of the Liberals!",9
What is most important is that he be independent and loyal nott o Trump or any president but loyal to the Constitution.  Trump is a disgrace and a disaster.  He needs to go back to his phony TV show.,9
Just grow some balls and protect what's your white trash Valley residents.  Take off your belt and discipline your children when they don't listen. Take away their lifted Chevy pickups you bought them on their 16th birthdays. I swear you millennial parents are the saddest things I've ever seen.,9
Everybody wants a handout.......pathetic,9
"President Trump would do well taking the advice of Rush Limbaugh:

When a caller (or other complainant) is determined to vent and make a total fool of him(her)self, shut up, get out of the way  and let him/her do it. It makes the host look good, which is the whole idea.

Have a Nice Day and to Hell with the ankle-biters.",9
"The problem with the internet is that ignorant people can remain ignorant, and get all of their information from sites that only pander to their ignorance.
No matter how ridiculous...here's a fascinating article about how some teens made a lot of money posting Fake News about Hillary Clinton on right wing websites.
""INSIDE THE MACEDONIAN
FAKE-NEWS COMPLEX""
https://www.wired.com/2017/02/veles-macedonia-fake-news/",9
He is as annoying as a fly at a picnic. I'm sure you know what that means.,9
The stupidity and arrogance of U.S. foreign policy is indeed exceptional.,9
"Ski area reservations are tracked and it's clear where each visitor is coming from, either by their home address, or by their address from their credit cards. It seems he's just emphasizing the effect that having a racist president is having on our economy.",9
"The BC ""Fiberals"" are desparate to get the pork barrel back.  Shameless!",9
"ph lefty lib troll no one cares what bs you think about the conservatives, go back in your cave and stay there",9
"Ellen Weintraub can go to hell, and the sooner she is packed off to that particular place, the better.",9
"This pipeline has sparked an Indian movement that has been festering for hundreds of years.  The thousands of people who have joined the Hunkpapa Indians are testimony to a larger problem.  You will find nitwits arguing that a pipeline is the safest way to export the oil.  The question ignored is, who does the oil belong to?  I say that the oil belongs to the people.  Nitwits say we have to move huge amounts of oil.  Why, on God's green earth, why?  We have a glut of oil right now sitting in storage tanks.  Why not leave the oil in the ground for now, the best storage?  Why drain every drop of oil from the ground in record speed?  How stupid can you get?  The Indians are the only ones showing intelligence and restraint in this situation.  Many white people agree with them.  The authorities say they arrested dangerous protesters.  However, they did not arrest the security guards who brought in vicious dogs to bite people.  How stupid can you get, Mr. Dalrimple?",9
Maybe the legalized weed attracted the weirdos?,9
"The way I see it, ""immigrants"" -- by which you seem to mean people of colour rather than WASP stock -- do the jobs WASP white Canadians are too darn lazy to do. When did you last see a WASP white Canadian running a corner store, or a dry-cleaners, or mopping the floors in a hospital? No, ""Canadians"" are too good for jobs like that. ""Canadians"" go to university and get semi-useless degrees just so they don't have to mop floors or drive taxis. But someone has to do those jobs, and unless WASP white Canadians are ready to step up to the plate, it'll have to be immigrants. And immigrants of all colours and backgrounds and religions, not just the palatable WASP ones.",9
When you're honest you get banned by ADN site trolls.,9
This injustice simply CANNOT stand.  We will not live in a fair and just society until white people have been punished for the sins of their forbears and reparations have been made to ALL people of colour for the centuries of persecution at the hands of Imperialist Caucasians.,9
"Also, for xtians that want to retreat into child-like fantasies about their god coming to end the world and save them, etc., I have a suggestion - get out of the way of those looking to provide real leadership for the future. 


Stop voting for fools or even just stop voting altogether. According to your eschatology, it won't matter anyway. So maybe butt out of worldly affairs, and let the adults run things here? You guys can spin yarns about the rapture and other fairy tales to your heart's delight.",9
"Psssssssst: Vested interest. Of course. ""Corruption""...hardly. When does any board of directors reflect a makeup apart from those who have an interest?

Not a penny has been spent other than the $1 a piece per year for the board members. How in the world is that ""corruption"" save for in the mind of a manic?",9
"In fairness to the actual (not imaginary) offender, he is just an ignorant child whose behavior is no worse than that of many other children three times his age. 

Now that the kid has admitted to the offense, he deserves another chance to straighten up and fly right---if not at this school, perhaps by enlisting in one of the services. (As semi-literate liberal theologians cannot seem to quit saying, "" Let he who is innocent cast the first stone."")

I do not tell lies, deface property or write vulgar hateful stuff, yet would be half tempted to pull a stunt like this to provoke reactions by those who are too impulsive and immature for their posts of authority, such as that three-star general.  When people yapping off about ""society's"" ""racism"" get exposed for the idiots whom they are behaving like, that gives them reason to govern their emotions and catch up on maturity.",9
"Your response doesn't dispute the role of religion with regard to violence and bloodshed, nor does it support the ridiculous claims made by religions with regard to ourselves, the world and the universe.",9
And Buck and all of the other right-wing extremists have killed a once-respectable Republican party.,9
"John A ,the dirty bugger even hid the whiskey from the Irish rail workers too",9
Virginia voters deserve what they get. This guy used his girl friends death to advance his career. Demo rats have no shame.,9
"Nice little partisan barb in the final sentence.  Trump will be a glass of cool water compared to the former occupant.

Barack Hussein Obama was a very giving president.  He gave us over $9 trillion in new debt which divides down to about $75,000 per American taxpayer.  He gave himself and his family $85 million of taxpayer money for eight opulent Hawaiian vacations.  And we should all thank Mr Obama for his most generous gift to America, President Donald J. Trump.

  We should also thank Vladimir Putin and the Russians for their kindness of exposing the cancerous graft and corruption in the Democratic Party and in the crooked Hillary Clinton campaign.   Finally, I’d like to thank Bill and Hillary Clinton for leading that tired old sway-backed (D)onkey out to pasture for the last time.   R.I.P. Donkey.",9
"all we need is more syrians, more ""free"" trade with china - LOL.  justin is as stupid as they come. the syrians have no jobs but somehow get a handout ahead of the Albertans",9
it demonstrates his abject need to maintain his employment as a Legislator......who would employ such a tone deaf pedantic buffoon?,9
"For another the so called “computer models” the Ultra-Religious Left priests rely on cannot even predict the weather TOMORROW with any great reliability thanks to the astonishing number of variables in play that are still not well understood. And yet devout practitioners like Ansak credulously accept the notion these “models” can predict ocean temperature a decade or century hence to the nearest degree Celsius.

Anyone who has written code to create or execute a model knows how easy it is to tweak a few lines of that code to generate any “scientific” result desired.

Phineas T. [“there’s a sucker born every minute”] Barnum must be spinning like a lathe in his grave to realize he was born a century too soon:  The explosive growth in the number of credulous bumpkins who find thinking a nuisance but LOVE all manner of conspiratorial balderdash is the hallmark of our new gilded age.

We are in danger of becoming a nation of credulous marks waiting to be played by grifters.",9
"I believe this ALCOHOLIC has had plenty of chances.  He has exceeded the cats 9 lives term.   I believe he should NEVER be allowed to drive again or own any vehicles EVER.   

Why do you think he moved here from the state of Washington?   Because he is aware of LAME County's catch  and release mentality.  

Let him DIE in prison BEFORE he KILLS someone................",9
Other than my lazy brother in law...who's apparently holding out for someone to offer him a management role.,9
I don't think they blocked it because  he's black. I do think they blocked it because he's a Dem.,9
"Unfortunately, as the old saying goes, you can't fix stupid.
All we can do here is lead by example.",9
"The vast majority of counter protestors were peaceful.  There were some antifa protestors who were prepared to fight

All of the nazis were hoping for violence - that's their creed that they will help Trump ""take America back"".

Notice it's the peaceful protestors who were the ones killed by the nazi hero in his dodge challenger.",9
"BHOOPER:  .......""some of the women claiming involuntary,....."" .... ... "" ...Clintons have also been covering up the cover ups...""  ... ...""    also been rumors about Hillary and other women, though nobody has come forward to confirm."" ""IT IS THE LYING THAT REALLY GETS ME"" (CAPs r my choice)

    for something to be a lie  it has to be based on fact.  covering up the cover-ups...what is your source for clinton cover up efforts?  what are they covering up? please no radical publications from either side...
    rumors about Hillary and other women,.. who cares? but for the sake of reality, go ahead and  cite a non partisan source   ...."" 
   though nobody has come forward to confirm"" oh - so your whole post is speculation but it's the LYING that really gets you. when is not proven speculation a lie?   often... TOO often.",9
"what rubbish, we dont get a fraction of it back",9
"Ok, whoever is feeding this clown the lead paint chips, knock it off, it's not funny anymore, you are causing severe brain damage.",9
"I bought some flowers from a homeless lady on the street corner this morning. She told me that SHE was actually the First Lady! I'm so confused about who is really the first lady. I'm going to call it a tossup between the homeless lady selling flowers on the street corner and Natalya, the Russian prostitute who was involved in Trump's golden shower party.",9
What a disgusting state of affairs. It's just stupidity amplified.,9
Start with them useless teachers. Lazy and demanding as they come.,9
Why would the commenter take advice from a troll...,9
"This only works for us because Trump has absolutely no political views, or a policy he's married. to. It's all about the perception of winning, and less so about winning itself or pushing some agenda. Agreed that if we play our cards right, and ignore Trump the bully, sexist, racist, egotist, conspiracy theorist, pathological liar Trump (not easy to do) we can come out of this OK.",9
"Meh. The dog wasn't even slightly a factor in this incident. Some dogs are crap, other dogs are fine. Blanket statements are pretty useless in such situations.",9
Me thinks you should spend less time on here posting your lunacy and start spending it looking for the remedy for your extra chromosome.,9
"Oh Dianne, it bad to show a joke about hillary but it's ok to show Trump's severed head. You are the one that is appalling and disgusting. We will be voting to send your ass home next elevtion.",9
This comment is bizarrely idiotic.,9
"Coulter's cut from the same threadbare cloth as Trump, her hero. Both are pathetic.",9
"Yup, anybody who has an opinion different than the extremist, paranoid ranting of this columnist must be a troll because after all, in the alt left world you either agree or you are to be silenced by whatever means necessary including calling them names such as ""trolls"". Why stop there, aren't they ""deplorables"" as well?",9
Just another example of the exemption voted by themselves to the Alaska Open Meetings Act.  Backroom legislative actions without open debate for the public to see them all in their glorious stupidity.  Open up all legislative meetings to the original intent of the statute and Constitution and see things change really fast.,9
"The writer is a Tim Tredwell wannabe.  Just not quite as stupid.  Facts are is that most common people are scared pooless of bears and do not want them in and around Anchorage.  We don't care if only one person was mauled by a bear.  It will change your life, if you live, for the negative of that I can assure you. I would not give the entire population of woods pigs (bears are related to pigs) for 1 human mauled or killed.  Why not hang up posters of the scars for life that mauled people have experienced at all the trail heads.  Never happen!  This is very much in the liberal tradition!",9
"And yet probably 1/2 of my passengers are non-white.  
  
You should be careful there, your racism and bigotry are showing.",9
"N6ke them President Trump, enough 
hugging, then they knife you in the back.
Then all info leakers get charged with
treason and are dealt with accordingly.",9
"We had decades to protect our grid and harden our infrastructure for an EMP attack, and no one in power did anything other than insure their own survival. The sad fact is this....Our globalist leaders want the majority of people to die so they can re-emerge at some future date on a planet devoid of most people. They want us dead!!! That is the reality....",9
"How pathetic! Typical behavior of men who dislike any organization that encourages the education, independence, and confidence building of young women!",9
"all you illegal criminals, very soon you will be going to the bus station. turn in forged green card, drivers license and social security card. bye!m enjoy living in the garbage dump (mexico).",9
Jean Chrétien? That's the idiot that gutted the military and let our dollar go down to 60 cents US.,9
"Such disrespect for the transabled. Surely their time will come?

""Gender dysphoria"" is as much as socio-political term as it is a medical one. The term is used in preference to ""gender identity disorder"". DSM-5 introduces the term ""gender incongruence"" as a better identifying and less stigmatising term. The cause of this condition is as yet unknown: it is psychological or psychiatric in origin and not physiological. 

Are you so cavalier about the mutilation of genitalia as you are that of breasts? Perhaps you agree FGM should be permitted if a child or young woman wants it for religious/cultural reasons?",9
"Sorry, but U.S. credibility was shot once our voters elected a clueless, racist, sexist, incompetent, narcissistic reality show host as our president. Nice job Trump voters.",9
"Hillary Clinton: not a terrorist but the #1 choice OF terrorists, Libyan rebels, Iranian Mullahs, ISIS, Big Finance, Big Pharma, Big government and the Political Class, BLM (proven racists), illegal immigrants, and of course the anti-white/male ambiguously guilty self-loathing liberals.",9
Hope they enjoy being raped in prison themselves.,9
"Cannot understand all the fuss, just another Liberal being a Liberal. The corruption and malfeasance endemic to this party are its core values..",9
"YOUR NEWSPAPER WOULD BE SOMETHING HITTLER WOULD LOVE, ITS FULL OF HATE, RACISM, FAKE NEWS, SHIT AGAINST THE WALL. WHY WOULD YOU KEEP BRINGING UP HILLARY, WHEN WE WILL SOON HAVE TRUMP INDICTED, WILL YOUR PAPER ASK HIM BE ACCOUNTABLE , HELL NO. YOU DREAM OF A ONE ORDER NATION, AND SOMETIMES WHAT YOU WISH FOR IS NOT ALL THAT YOU ENVISION. YOUR PAPER MAKES ME SICK.",9
"A pathetic and laughable defense.  I am a Thomist myself, but Thomas also was against the Immaculate Conception.  The question that needs to be answered is, ""Are you changing the Church's magisterial teaching on the reception of Communion for those who are not married and engaging in the conjugal act?"".  There is a Thomist answer for that, but Francis avoids it.",9
"there are a few Lib apologist's on the board defending this foolishness.
they probably work for the civil service using all their sick days and retiring on a not so well deserved pension.",9
"The city was never ""financially stable"" with you at the helm, Dan, and I see you're as delusional out of office as in.

But hey, nice to see you lowering yourself into the mud with us comment pigs 👍🏻",9
