Text,Label
@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,Harassment
@user Get him some line help. He is gonna be just fine. As the game went on you could see him progressing more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time,Harassment
@user @user She is great. Hi Fiona!,Harassment
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""""",Harassment
@user @user Lol. Except he’s the most successful president in our lifetimes. He’s undone most of the damage Obummer did and set America on the right path again. #MAGA,Harassment
@user Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics?,Harassment
@user Here's a link to my channel with a plethora of topics to peruse:,Harassment
@user Friend ordered 100 pair of Levi’s and then called to cancel! Over Gun control! Wow getting wild!,Harassment
@user @user Lmfaoooooo,Harassment
@user Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well.,Harassment
@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care package -Obama care and then we’ll see what’s in it afterwards🤔,Harassment
@user @user You mean the way Hillary re-victimized all of Bills accusers?,Harassment
GREAT COMEDY THERE CNN - NEWS?  NOT SO MUCH!  #MAGA!  #LICENSEREPORTERS!,Harassment
@user You are so fragile. It must be hard to live that way.,Harassment
@user Freudian slip.,Harassment
@user He is so underrated and I love how pure he is as a person,Harassment
@user Haha we set then 😂,Harassment
@user he is a psychic ain’t he,Harassment
@user I am stunned that you are giving this guy airtime. Stunned.,Harassment
@user She Wants Gun Control? Figures,Harassment
@user @user @user Didn't see him matching with antifa tbh,Harassment
@user @user @user And conservatives are no longer conservatives why do you think Maxime Bernier has started a new party that will follow original Conservative values.,Harassment
@user @user @user Can you let him know?,Harassment
@user @user @user @user @user @user Sir it comes to something when you present a lie as a fact.... Have you no shame? This is the fact 65% of labour voters voted to Remain. Ref YouGov polls. Your position is based on a false premise......have a nice day,Harassment
@user @user A stark reminder that @user and you are trying to con us with chequers and a bit of our waters back - not good enough - @user @user  @user @user @user @user @user @user appeasing is not a good look @user,Harassment
@user @user WHERE'S holier than thou @user  Sippin wine in the shade somewhere...  #MAGA,Harassment
@user So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about.  Just because California has the biggest population does not mean the U.S. shares in their values.  Get a clue Hillary.,Harassment
@user Berkeley Antifa do not agree with you,Harassment
@user Griexsevia,Harassment
@user We do have a few outages reported in Toronto.   Here's a link to our outage map to see if you are in one of the defined spots - -SC,Harassment
@user @user What new gun control laws would you like to see passed and what would they accomplish?,Harassment
@user Good luck,Harassment
@user @user @user She did it and she is alive is greatness of Hinduism. You should try it with Quran if you have guts.,Harassment
@user Hell ya,Harassment
@user Eric Holder should've been in his 2nd yr at Gitmo. What's the update on Gitmo's expansion?  Why is he still breathing in our freedom air?,Harassment
@user Buy one,Harassment
@user @user I didn't know Oprah Winfrey knew how to play tennis. .. 😱,Harassment
@user Yeah she is,Harassment
@user She is so cute ♡,Harassment
@user @user Sounds to me like the Pope needs counselled on confession.,Harassment
@user @user That so many “thoughtful conservatives” who rushed to Kavanaugh’s defense didn’t consider  their own statements re: black teenagers tells you everything about how “thoughtful” they truly are.,Harassment
.@USER  joined the show to talk about how she is leading the fight against breast cancer at @user @user Listen to the full interview:,Harassment
@user tell that to him. He is very perfectionist. I don’t think we will change that ever 😅,Harassment
@user @user @user @user Also there to help banks boost their balance sheets post crash. I'd imagine atleast 15% (Maybe more) of current house prices are part of the bank bailout package.,Harassment
@user He’s a DA. Someone educate him he’s in the South now,Harassment
@user Notice how everyone avoids this tweet ☝️☝️  They might think you are referring to them. 😂😂  But not me comrade. I stalk everyone. 🤟🤟,Harassment
@user I don't know if this cat even realizes what he is doing.,Harassment
@user @user He is.,Harassment
@user And you are a football fan too !,Harassment
@user Well he’s closer to Lincoln than you are.,Harassment
@user Every one of them is more rank than she is. And she's pretty rank. So I guess they all outrank her...,Harassment
@user well...?,Harassment
@user @user @user Says one of the thickest cultists on Twitter. Irony at its finest.,Harassment
@user And yes your presidency was one of the absolute worst. Go back to that....no way.,Harassment
@user @user @user You should take this picture down you destroyed one of my all time favorite Comedian/Actors @user,Harassment
@user @user @user @user @user @user I saw her in Denver last week. She is still traumatized. Cohen owes her so much because of 'My Life on the D List'.,Harassment
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Thank you for adding me Razor!  Patriots- if you aren’t following my Primary account @user - will you take a minute &amp; Follow me? Thanks &amp; MAGA🇺🇸,Harassment
@user He is very perceptive Sweetie!,Harassment
@user you are also the king of taste,Harassment
"@user And everyone knows that Kerry doesn't have a clue!  Heard that from numerous anonymous"""" sources who also say he is not sane.  That's what the sources say.""""",Harassment
@user @user You are very beautifull,Harassment
@user @user She's been active on Instagram lately. And she is dropping an album sometime this year.,Harassment
@user @user Then we'll be talking about gun control! 😉,Harassment
@user I can see how frustrating that is. Conservatives will always get more praise for humane policies because it isn't neccessarily expected of them.,Harassment
@user @user Do not donate. She is picking and choosing who she donates to. Being reported.,Harassment
@user @user @user Are you wanting gun control for LEO’s?,Harassment
@user But she is hecking cute fluffer,Harassment
#Labour #Councillor shouting Nazi Scum ..  At victims of #GroomingGangs and this is going to get worse under #JeremyCorbyn's socialist #Britain   #Muslims #Islam #Leftists #MAGA #MEGA #MCGA #MEGA #Patriots #Conservatives,Harassment
@user Yee yee,Harassment
@user @user @user @user Huh! The pot grows as council grows...in this case it is a reduction...and that amount $25m is going right back to the city for police gun control...already announced!,Harassment
@user @user @user @user Whoa!  Angie!!! Back off that logic!  You're going to confuse the liberals.,Harassment
"1) Ultimately, the defense of Kavanaugh by Republicans, conservatives, their media and public is a manifestation of America's rape culture -- the latter being neither 'colorblind' or 'race neutral.'""""""""",Harassment
@user @user Wrong. @user was a enthusiastic architect of devastating austerity along with the Tory's. The @user did not have to abandon every principle they supposedly had to the @user they could have let Cameron run a minority Government (as dId SNP) but CHOSE not to,Harassment
@user @user @user @user  @user  Please get out to vote Republican right down the ticket or Pelosi gets back into control,Harassment
@user @user you are running scared!🤡,Harassment
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Ryan's wife was from a famously conservative Blue Dog Democrat family in Oklahoma. The conservatives that have left the Dems. She herself has always known to be conservative. She campaigned against Obama nationally in '08 and '12.,Harassment
@user Ok guys I think her claims are b.s. too but if you start threatening her you're no better than Antifa,Harassment
@user By the looks of her face you can tell where they're pulling the numbers from,Harassment
@user Fair &amp; square. Remember that when you’re thinking why! The laws are why. The people spoke and they will again,Harassment
@user I think the FBI should do the original interview.  They scare people more than feckless congress that will have to handle her with kids gloves or be demonized in media and left. Put her under oath and attempt to get the truth. She will be protected by liberals in congress,Harassment
@user GOD DAMN IT... YOU ARE SO RIGHT. THERE'S NO GOING WRONG WITH THIS STUFF.,Harassment
@user if you ever want a record setting bad election for the liberals in quebec you need to go back to this,Harassment
-Being on food stamps  -Liking boys/girls or liking both -Not knowing who you are -Your body size  -Not knowing something  -scared to ask for help -Not dating someone  -What you wear,Harassment
