text,label
@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,4
@user Get him some line help. He is gonna be just fine. As the game went on you could see him progressing more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time,4
@user @user She is great. Hi Fiona!,4
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""""",4
@user @user Lol. Except he’s the most successful president in our lifetimes. He’s undone most of the damage Obummer did and set America on the right path again. #MAGA,4
@user Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics?,4
@user Here's a link to my channel with a plethora of topics to peruse:,4
@user Friend ordered 100 pair of Levi’s and then called to cancel! Over Gun control! Wow getting wild!,4
@user @user Lmfaoooooo,4
@user Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well.,4
@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care package -Obama care and then we’ll see what’s in it afterwards🤔,4
@user @user You mean the way Hillary re-victimized all of Bills accusers?,4
GREAT COMEDY THERE CNN - NEWS?  NOT SO MUCH!  #MAGA!  #LICENSEREPORTERS!,4
@user You are so fragile. It must be hard to live that way.,4
@user Freudian slip.,4
@user He is so underrated and I love how pure he is as a person,4
@user Haha we set then 😂,4
@user he is a psychic ain’t he,4
@user I am stunned that you are giving this guy airtime. Stunned.,4
@user She Wants Gun Control? Figures,4
@user @user @user Didn't see him matching with antifa tbh,4
@user @user @user And conservatives are no longer conservatives why do you think Maxime Bernier has started a new party that will follow original Conservative values.,4
@user @user @user Can you let him know?,4
@user @user @user @user @user @user Sir it comes to something when you present a lie as a fact.... Have you no shame? This is the fact 65% of labour voters voted to Remain. Ref YouGov polls. Your position is based on a false premise......have a nice day,4
