text,label
And Buck and all of the other right-wing extremists have killed a once-respectable Republican party.,5
"I believe this ALCOHOLIC has had plenty of chances.  He has exceeded the cats 9 lives term.   I believe he should NEVER be allowed to drive again or own any vehicles EVER.   

Why do you think he moved here from the state of Washington?   Because he is aware of LAME County's catch  and release mentality.  

Let him DIE in prison BEFORE he KILLS someone................",5
"The vast majority of counter protestors were peaceful.  There were some antifa protestors who were prepared to fight

All of the nazis were hoping for violence - that's their creed that they will help Trump ""take America back"".

Notice it's the peaceful protestors who were the ones killed by the nazi hero in his dodge challenger.",5
"The writer is a Tim Tredwell wannabe.  Just not quite as stupid.  Facts are is that most common people are scared pooless of bears and do not want them in and around Anchorage.  We don't care if only one person was mauled by a bear.  It will change your life, if you live, for the negative of that I can assure you. I would not give the entire population of woods pigs (bears are related to pigs) for 1 human mauled or killed.  Why not hang up posters of the scars for life that mauled people have experienced at all the trail heads.  Never happen!  This is very much in the liberal tradition!",5
"We had decades to protect our grid and harden our infrastructure for an EMP attack, and no one in power did anything other than insure their own survival. The sad fact is this....Our globalist leaders want the majority of people to die so they can re-emerge at some future date on a planet devoid of most people. They want us dead!!! That is the reality....",5
"The city was never ""financially stable"" with you at the helm, Dan, and I see you're as delusional out of office as in.

But hey, nice to see you lowering yourself into the mud with us comment pigs 👍🏻",5
"what is sick and delusional are nut jobs like you , if people like teachers had guns perhaps they could of stopped that sandy hook before it started you ignorant idiot,, you are the totaly sick delusional idiot",5
"Trump is a super dumb ass mental case who will get all of us on this planet killed, or do it himself. Please white folks, come to your senses and choose another Great White Hope. We (brown and black folks) mean ya'lls no harm",5
"Putin's thugs murdered Nemtsov. The 5 Chechens hoisted up for trial were nothing but Putin's patsies. Hang the real criminal, the one in the Kremlin.",5
"Trump said from his guts 'blames on both sides'. 'This has been going on for a long time.' Trump does not know how to lie in public, yet. But he will learn soon enough, just like all other politicians in the U.S. 

Trump got hit like he is the many great enemies of U.S. around the world with his 'truth'. American never want the truth. The truth is racism, white supremacist have been the foundation of America. And still is to a large degree. Why do you think the U.S. killed more Asians after WW2 than it did before? Or during the war when killing the 'Japs' was official state command. 

American white supremacism have aligned themselves with the black slave traders of the British empire in the 19th century. After the slave trade ended they aligned with themselves, created an uniquely American white racism. KKK and others. After WW2 they aligned themselves also with Neo-Nazi. The Nazi, of course, have exterminated Jew, Gipsys, Slav because they were inferior. This thing's been around.",5
"Domestic squabbles? 

That terrorist killed an American medic and took the eye out of another soldier. Then Sunnyways pays the murderer 10 million dollars and apologizes. Then he tried to hide it but it was leaked.

I am glad the Americans know about this, they should as it concerns them. Domestic squabbles indeed, how stupid does this guy think we are.",5
"NRA didn't kill anyone, and they don't run the country. WTF are you talking about.",5
"It is very sad but these events are not really rare.  black bears are more prone to predatory attacks on humans not just in Alaska but in Canada also etc.  They have a more predatory instinct, I have lived among brown bears a long time here in Alaska and never witnessed what I have seen in blacks.  They are distinctly different.  A brown will attack and maul out of defense.  A black will attack, kill and eat you just because it wants too.  Every bear cannot be predicted in behavior and you can't exactly catagorize them all the same either, they all have different personalities the same as humans.  Killing four just to get one was a little much but I guess considering the terrain they felt they had no choice but I can also imagine how stupid they felt each time they realized they had the wrong one.",5
"It may have begun as a slur, but I think the Obama administration just ignored the Republican trolls and owned it.",5
