text,label
@user Eight years the republicans denied obama’s picks. Breitbarters outrage is as phony as their fake president.,2
@user She has become a parody unto herself? She has certainly taken some heat for being such an....well idiot. Could be optic too  Who know with Liberals  They're all optics.  No substance,2
@user Your looking more like a plant #maga #walkaway,2
@user Antifa would burn a Conservatives house down and CNN would be there lighting the torches &amp; throwing gas on the flames.,2
"@user They cite Jones being banned for violating Twitter's ToS. There are blue checkmarks spewing the same, if not worse, kind of shit. If you are going to play the anyone can get banned"""" card. Shouldn't these people also receive bans and suspensions? #VerifiedHate""""",2
@user also shitbiscuit stole most of the Tempe girls u can't blame that on me..,2
"@user @user Well, see, if I start talking at Dana about sensible gun control laws and she ignores me (or calls me a tragedy dry-humping whore"""" as she did @user then we aren't having a conversation. I'm just talking into the void.""""",2
@user All you do is lie. All congress does us lie.  MAGA.,2
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user He also clarified that there is the water birth when we are physically born. Then there is the spiritual birth which is obviously when we spiritually die to our sinful flesh and be reborn sinless after being cleansed by His blood at salvation when our sin debt is paid! Praise God,2
@user @user Why are you wasting time replying on twitter (trolling) on behalf of people making under that amount?  Seems like someone is just a propaganda pusher...or likes gloating to other #MAGA's that they got screwed by Trump.,2
@user We had Leveon Bell. Thats the dumbest argument. But we can compare college for when he played. His best season was 1700 yds 26 TDs. How about Collins? And this is Conners first year starting and he is starting much better than Collins,2
@user @user SHE IS A FUCKING MESS!! I HATE HER SO MUCH,2
@user I was think she jisoo but I’m Focused I found she is taeyoun,2
@user Holy shit I love her???,2
@user I can’t cuz that nigga retarded smh,2
9 factory workers gunned down in Iowa City with 20-gauge Winchester pump-action shotgun. The NRA blames gun control laws.,2
@user He is quite good at faking. Must have done it numerous times,2
Take Take Take #WalkAway from the #idiot party! #MAGA,2
@user @user You are so correct the Democratic party for slavery and pro-nazi gun control,2
@user @user Prove your claim or be exposed as the lying piece of shit you are.   Meanwhile...,2
@user Get shit poppin,2
@user She says no. You are now sad. She then realizes what you might actually mean. She slaps you. She says no. Now you are sad AND your face hurts.,2
@user Patrick ass??,2
@user All we ever hear from Hillary is beeching &amp; moaning.  Dang ! That witch never get tired of complaining!,2
@user Come on CNN.  He literally introduced himself.  The guy is a public figure for gun control.  Call him out!,2
@user @user @user She is a walking talking lie..  that’s why.,2
@user Holder is responsible for selling guns to the Mexican cartel. Just another Obama administration law breaker.,2
@user Better than what? Truth? Politicians have never been good at that. My America is better than Flake.,2
@user you couldn’t catch me letting some saggy whitey bitch talkin like this to me 😫 bitch eat dirt,2
@user You are becoming the court jester of the senate,2
@user And why report this garbage.  We don't give a crap.,2
@user She is disgusting,2
@user Eric holder is Obama's straw man of corruption,2
@user America is better than swamp crud like YOU!,2
@user The lies i keep hearing everyday sigh *INHALES* IM TIRED OF YOU PUTTING YOURSELF DOWN AND IF PPL DONT SEE HOW BEAUTIFUL MY BESTFRIEND IS THEN ITS THEIR PROBLEM You are beautiful ive seen iT so its my place to tell you you are beautiful and i accept nothing less. If not more 😤,2
"@user Dear Paul McFartney-  You had us at Beatles.  You lost us at President Mad Captain.  Burn in hell-  Jon.""""",2
@user @user I think she is a hypocrite and loyal to the evil GOP. Vote her out.,2
@user @user Bill Clinton enjoyed raping them while Ted Kennedy enjoyed killing them. But you are cool with that.,2
@user #Conservatives #Republicans are #TRAITORS to #America,2
@user This liberal is pissed that anyone would give that disgusting pos an award for equality. And....f.u. for including all liberals in this bullshit decision by the HRC.,2
@user Eirc Holder: a friken idiot,2
@user Crazy freaking liberals,2
@user @user Ikkk he is a fucking prince 6al3 mn al stories bta3in Disney kida ahhooo😹😭😹😭😹💜💜💜,2
@user @user says social housing is good and in the same breath talks of climbing the ladder.   Hypocrisy incarnate from a failed lying politician lining her party's pockets with tax money for real estate builders @user building their failure of lies,2
@user @user He is delirious!,2
